"Total seconds","Self seconds","File size","File path"
0.077759,0.000922,1401,"/usr/include/c++/9/cstdbool"
0.076044,0.041637,61172,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++config.h"
0.027092,0.001127,2007,"/usr/include/x86_64-linux-gnu/c++/9/bits/os_defines.h"
0.025965,0.010304,15541,"/usr/include/features.h"
0.014306,0.013644,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.006949,0.006949,6984,"/usr/include/c++/9/pstl/pstl_config.h"
0.000901,0.000901,2363,"/usr/include/stdc-predef.h"
0.000793,0.000793,1524,"/usr/lib/gcc/x86_64-linux-gnu/9/include/stdbool.h"
0.000473,0.000473,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000454,0.000454,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000366,0.000366,1333,"/usr/include/x86_64-linux-gnu/c++/9/bits/cpu_defines.h"
0.000189,0.000189,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
