"Total seconds","Self seconds","File size","File path"
0.173668,0.004756,4439,"/usr/include/c++/9/cstdio"
0.092224,0.023512,29665,"/usr/include/stdio.h"
0.076688,0.042258,61172,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++config.h"
0.039069,0.023354,15541,"/usr/include/features.h"
0.031980,0.016262,17221,"/usr/include/x86_64-linux-gnu/bits/libio.h"
0.027175,0.001136,2007,"/usr/include/x86_64-linux-gnu/c++/9/bits/os_defines.h"
0.019493,0.010251,7990,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.016002,0.016002,12959,"/usr/lib/gcc/x86_64-linux-gnu/9/include/stddef.h"
0.014335,0.013639,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.013839,0.001894,1440,"/usr/include/x86_64-linux-gnu/bits/_G_config.h"
0.007992,0.001427,2607,"/usr/include/x86_64-linux-gnu/bits/libc-header-start.h"
0.006890,0.006890,6984,"/usr/include/c++/9/pstl/pstl_config.h"
0.004812,0.004812,4072,"/usr/lib/gcc/x86_64-linux-gnu/9/include/stdarg.h"
0.002267,0.002267,3397,"/usr/include/x86_64-linux-gnu/bits/typesizes.h"
0.001004,0.001004,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000924,0.000924,2363,"/usr/include/stdc-predef.h"
0.000709,0.000709,1212,"/usr/include/x86_64-linux-gnu/bits/stdio_lim.h"
0.000559,0.000559,564,"/usr/include/x86_64-linux-gnu/bits/types/__mbstate_t.h"
0.000499,0.000499,1215,"/usr/include/x86_64-linux-gnu/bits/sys_errlist.h"
0.000456,0.000456,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000365,0.000365,1333,"/usr/include/x86_64-linux-gnu/c++/9/bits/cpu_defines.h"
0.000248,0.000248,180,"/usr/include/x86_64-linux-gnu/bits/types/FILE.h"
0.000242,0.000242,110,"/usr/include/x86_64-linux-gnu/bits/types/__FILE.h"
0.000202,0.000202,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
