"Total seconds","Self seconds","File size","File path"
0.114006,0.006735,6325,"/usr/include/c++/9/cstdlib"
0.104452,0.070068,61172,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++config.h"
0.031502,0.002819,3384,"/usr/include/c++/9/bits/std_abs.h"
0.027154,0.001103,2007,"/usr/include/x86_64-linux-gnu/c++/9/bits/os_defines.h"
0.026051,0.010368,15541,"/usr/include/features.h"
0.014347,0.013663,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.006866,0.006866,6984,"/usr/include/c++/9/pstl/pstl_config.h"
0.000878,0.000878,2363,"/usr/include/stdc-predef.h"
0.000485,0.000485,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000458,0.000458,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000364,0.000364,1333,"/usr/include/x86_64-linux-gnu/c++/9/bits/cpu_defines.h"
0.000199,0.000199,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
