"Total seconds","Self seconds","File size","File path"
0.146839,0.001785,2298,"/usr/include/c++/9/ctime"
0.074431,0.041387,61172,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++config.h"
0.070623,0.008220,10360,"/usr/include/time.h"
0.041229,0.031991,7990,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.037982,0.022881,15541,"/usr/include/features.h"
0.026110,0.001067,2007,"/usr/include/x86_64-linux-gnu/c++/9/bits/os_defines.h"
0.017775,0.001823,2998,"/usr/include/x86_64-linux-gnu/bits/time.h"
0.013831,0.013120,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.008231,0.008231,12959,"/usr/lib/gcc/x86_64-linux-gnu/9/include/stddef.h"
0.006583,0.006583,6984,"/usr/include/c++/9/pstl/pstl_config.h"
0.004701,0.000702,321,"/usr/include/x86_64-linux-gnu/bits/types/struct_timespec.h"
0.004420,0.000535,288,"/usr/include/x86_64-linux-gnu/bits/types/struct_itimerspec.h"
0.004333,0.000860,760,"/usr/include/x86_64-linux-gnu/bits/types/struct_tm.h"
0.004005,0.000334,138,"/usr/include/x86_64-linux-gnu/bits/types/time_t.h"
0.003872,0.000328,143,"/usr/include/x86_64-linux-gnu/bits/types/clock_t.h"
0.003840,0.000328,159,"/usr/include/x86_64-linux-gnu/bits/types/timer_t.h"
0.003803,0.000324,174,"/usr/include/x86_64-linux-gnu/bits/types/clockid_t.h"
0.002293,0.002293,3397,"/usr/include/x86_64-linux-gnu/bits/typesizes.h"
0.001216,0.000475,982,"/usr/include/x86_64-linux-gnu/bits/types/locale_t.h"
0.000961,0.000961,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000836,0.000836,2363,"/usr/include/stdc-predef.h"
0.000741,0.000741,1721,"/usr/include/x86_64-linux-gnu/bits/types/__locale_t.h"
0.000434,0.000434,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000351,0.000351,1333,"/usr/include/x86_64-linux-gnu/c++/9/bits/cpu_defines.h"
0.000249,0.000249,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
