"Total seconds","Self seconds","File size","File path"
2.546152,0.004065,4031,"/usr/include/c++/9/deque"
1.003642,0.215747,215183,"/usr/include/c++/9/bits/stl_algo.h"
0.947051,0.073751,51417,"/usr/include/c++/9/bits/stl_algobase.h"
0.856487,0.825589,90241,"/usr/include/c++/9/type_traits"
0.700164,0.666411,61172,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++config.h"
0.362605,0.006374,8287,"/usr/include/c++/9/bits/stl_tempbuf.h"
0.337384,0.048588,18642,"/usr/include/c++/9/bits/stl_pair.h"
0.329705,0.010127,7397,"/usr/include/c++/9/bits/stl_construct.h"
0.270729,0.055596,31455,"/usr/include/c++/9/bits/stl_uninitialized.h"
0.256117,0.011766,8010,"/usr/include/c++/9/new"
0.235769,0.038655,6529,"/usr/include/c++/9/bits/move.h"
0.221682,0.010127,10248,"/usr/include/c++/9/bits/uniform_int_dist.h"
0.216496,0.003208,4803,"/usr/include/c++/9/exception"
0.214126,0.009114,7943,"/usr/include/c++/9/bits/allocator.h"
0.141973,0.039412,42796,"/usr/include/c++/9/bits/stl_iterator.h"
0.137761,0.013061,12528,"/usr/include/c++/9/utility"
0.133890,0.106260,71808,"/usr/include/c++/9/limits"
0.117608,0.001020,1979,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++allocator.h"
0.117142,0.012739,8680,"/usr/include/c++/9/bits/stl_iterator_base_types.h"
0.116588,0.005689,5136,"/usr/include/c++/9/ext/new_allocator.h"
0.114478,0.005854,5981,"/usr/include/c++/9/bits/exception_ptr.h"
0.101471,0.023708,21737,"/usr/include/c++/9/bits/algorithmfwd.h"
0.098444,0.069227,80148,"/usr/include/c++/9/bits/stl_deque.h"
0.065713,0.006583,6325,"/usr/include/c++/9/cstdlib"
0.064729,0.005360,5916,"/usr/include/c++/9/ext/alloc_traits.h"
0.059965,0.032422,9947,"/usr/include/c++/9/bits/cpp_type_traits.h"
0.055693,0.019749,21489,"/usr/include/c++/9/bits/alloc_traits.h"
0.050316,0.015112,5914,"/usr/include/c++/9/ext/type_traits.h"
0.046551,0.046551,34404,"/usr/include/c++/9/bits/deque.tcc"
0.039941,0.001714,2220,"/usr/include/c++/9/bits/cxxabi_init_exception.h"
0.038996,0.004300,4802,"/usr/include/c++/9/bits/nested_exception.h"
0.035443,0.005108,7692,"/usr/include/c++/9/typeinfo"
0.034725,0.005176,3423,"/usr/include/c++/9/bits/concept_check.h"
0.033595,0.004080,3433,"/usr/include/c++/9/bits/functexcept.h"
0.032798,0.002821,2483,"/usr/include/c++/9/bits/exception.h"
0.030819,0.002753,3384,"/usr/include/c++/9/bits/std_abs.h"
0.030111,0.002454,2974,"/usr/include/c++/9/initializer_list"
0.030062,0.002146,2453,"/usr/include/c++/9/bits/memoryfwd.h"
0.029664,0.016838,20206,"/usr/include/c++/9/bits/stl_heap.h"
0.029255,0.001027,2146,"/usr/include/c++/9/bits/hash_bytes.h"
0.026602,0.001100,2007,"/usr/include/x86_64-linux-gnu/c++/9/bits/os_defines.h"
0.025502,0.009973,15541,"/usr/include/features.h"
0.024341,0.024341,9083,"/usr/include/c++/9/bits/predefined_ops.h"
0.021818,0.009931,4575,"/usr/include/c++/9/ext/numeric_traits.h"
0.014217,0.013557,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.013384,0.009727,6415,"/usr/include/c++/9/bits/ptr_traits.h"
0.010603,0.008332,8178,"/usr/include/c++/9/bits/stl_iterator_base_funcs.h"
0.009489,0.009489,12959,"/usr/lib/gcc/x86_64-linux-gnu/9/include/stddef.h"
0.008307,0.008307,10030,"/usr/include/c++/9/bits/range_access.h"
0.006784,0.006784,6984,"/usr/include/c++/9/pstl/pstl_config.h"
0.006464,0.005570,5797,"/usr/include/c++/9/debug/debug.h"
0.002999,0.002999,2411,"/usr/include/c++/9/debug/assertions.h"
0.001983,0.001983,4594,"/usr/include/c++/9/bits/stl_relops.h"
0.001438,0.001438,1645,"/usr/include/c++/9/bits/exception_defines.h"
0.000873,0.000873,2363,"/usr/include/stdc-predef.h"
0.000461,0.000461,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000439,0.000439,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000367,0.000367,1333,"/usr/include/x86_64-linux-gnu/c++/9/bits/cpu_defines.h"
0.000199,0.000199,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
