"Total seconds","Self seconds","File size","File path"
8.983469,0.001901,1770,"/usr/include/c++/9/execution"
8.634758,0.002348,1609,"/usr/include/c++/9/pstl/glue_execution_defs.h"
7.910404,0.207805,174317,"/usr/include/c++/9/pstl/algorithm_impl.h"
4.538539,0.006594,2771,"/usr/include/c++/9/iterator"
3.937140,0.026062,22213,"/usr/include/c++/9/ostream"
3.892451,0.001900,1601,"/usr/include/c++/9/ios"
2.325972,0.166444,41047,"/usr/include/c++/9/functional"
2.324904,0.070419,31153,"/usr/include/c++/9/bits/ios_base.h"
2.228885,2.200742,90241,"/usr/include/c++/9/type_traits"
1.938575,0.033700,24897,"/usr/include/c++/9/bits/locale_classes.h"
1.892909,0.009877,4645,"/usr/include/c++/9/string"
1.449323,1.415964,61172,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++config.h"
1.152568,0.616765,215183,"/usr/include/c++/9/bits/stl_algo.h"
0.847400,0.004598,3533,"/usr/include/c++/9/unordered_map"
0.622987,0.187860,246994,"/usr/include/c++/9/bits/basic_string.h"
0.577046,0.237252,51417,"/usr/include/c++/9/bits/stl_algobase.h"
0.551082,0.070371,24726,"/usr/include/c++/9/bits/char_traits.h"
0.546532,0.106043,73743,"/usr/include/c++/9/bits/hashtable.h"
0.511907,0.004596,4334,"/usr/include/c++/9/vector"
0.504211,0.017741,18765,"/usr/include/c++/9/pstl/numeric_impl.h"
0.403745,0.137686,60901,"/usr/include/c++/9/tuple"
0.378434,0.092784,42796,"/usr/include/c++/9/bits/stl_iterator.h"
0.352562,0.009877,16074,"/usr/include/c++/9/bits/basic_ios.h"
0.306343,0.061978,92321,"/usr/include/c++/9/bits/locale_facets.h"
0.295237,0.267294,71808,"/usr/include/c++/9/limits"
0.288343,0.005198,3597,"/usr/include/c++/9/ext/string_conversions.h"
0.247122,0.005256,4803,"/usr/include/c++/9/exception"
0.243075,0.003129,2983,"/usr/include/c++/9/algorithm"
0.241185,0.020858,7943,"/usr/include/c++/9/bits/allocator.h"
0.237063,0.018515,24894,"/usr/include/c++/9/numeric"
0.236020,0.228476,42293,"/usr/include/c++/9/bits/stl_function.h"
0.231838,0.086801,68108,"/usr/include/c++/9/bits/hashtable_policy.h"
0.231795,0.098873,12528,"/usr/include/c++/9/utility"
0.229405,0.010983,10248,"/usr/include/c++/9/bits/uniform_int_dist.h"
0.227776,0.026252,6918,"/usr/include/c++/9/iosfwd"
0.217304,0.019086,6542,"/usr/include/c++/9/cwchar"
0.215661,0.026159,5941,"/usr/include/c++/9/bits/localefwd.h"
0.208651,0.009127,8216,"/usr/include/c++/9/bits/node_handle.h"
