"Total seconds","Self seconds","File size","File path"
1.701999,0.002613,2755,"/usr/include/c++/9/forward_list"
1.673817,0.034138,49404,"/usr/include/c++/9/bits/forward_list.h"
0.688432,0.659751,90241,"/usr/include/c++/9/type_traits"
0.558285,0.525399,61172,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++config.h"
0.491371,0.008566,7943,"/usr/include/c++/9/bits/allocator.h"
0.374100,0.064731,42796,"/usr/include/c++/9/bits/stl_iterator.h"
0.371738,0.044222,51417,"/usr/include/c++/9/bits/stl_algobase.h"
0.369846,0.000946,1979,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++allocator.h"
0.368900,0.005552,5136,"/usr/include/c++/9/ext/new_allocator.h"
0.255984,0.011850,8010,"/usr/include/c++/9/new"
0.213969,0.003135,4803,"/usr/include/c++/9/exception"
0.170782,0.009006,8680,"/usr/include/c++/9/bits/stl_iterator_base_types.h"
0.168072,0.032431,6529,"/usr/include/c++/9/bits/move.h"
0.115725,0.005698,5981,"/usr/include/c++/9/bits/exception_ptr.h"
0.103341,0.021332,18642,"/usr/include/c++/9/bits/stl_pair.h"
0.084419,0.003198,3972,"/usr/include/c++/9/ext/aligned_buffer.h"
0.076330,0.002370,2974,"/usr/include/c++/9/initializer_list"
0.060428,0.052637,42293,"/usr/include/c++/9/bits/stl_function.h"
0.060135,0.031795,9947,"/usr/include/c++/9/bits/cpp_type_traits.h"
0.052449,0.014839,5914,"/usr/include/c++/9/ext/type_traits.h"
0.039828,0.005763,5916,"/usr/include/c++/9/ext/alloc_traits.h"
0.039450,0.001706,2220,"/usr/include/c++/9/bits/cxxabi_init_exception.h"
0.037093,0.004331,4802,"/usr/include/c++/9/bits/nested_exception.h"
0.035776,0.005673,7692,"/usr/include/c++/9/typeinfo"
0.032885,0.004699,3433,"/usr/include/c++/9/bits/functexcept.h"
0.032242,0.003975,3423,"/usr/include/c++/9/bits/concept_check.h"
0.031149,0.002889,2483,"/usr/include/c++/9/bits/exception.h"
0.030218,0.022302,21489,"/usr/include/c++/9/bits/alloc_traits.h"
0.029778,0.002111,2453,"/usr/include/c++/9/bits/memoryfwd.h"
0.028975,0.001046,2146,"/usr/include/c++/9/bits/hash_bytes.h"
0.026144,0.001069,2007,"/usr/include/x86_64-linux-gnu/c++/9/bits/os_defines.h"
0.025075,0.009724,15541,"/usr/include/features.h"
0.021358,0.009799,4575,"/usr/include/c++/9/ext/numeric_traits.h"
0.017705,0.017705,13871,"/usr/include/c++/9/bits/forward_list.tcc"
0.014082,0.013365,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.013340,0.009806,6415,"/usr/include/c++/9/bits/ptr_traits.h"
0.010707,0.010707,9083,"/usr/include/c++/9/bits/predefined_ops.h"
0.008966,0.008966,12959,"/usr/lib/gcc/x86_64-linux-gnu/9/include/stddef.h"
0.007864,0.007864,10030,"/usr/include/c++/9/bits/range_access.h"
0.007309,0.005107,8178,"/usr/include/c++/9/bits/stl_iterator_base_funcs.h"
0.006396,0.006396,6984,"/usr/include/c++/9/pstl/pstl_config.h"
0.004161,0.003274,5797,"/usr/include/c++/9/debug/debug.h"
0.003782,0.003782,7167,"/usr/include/c++/9/backward/binders.h"
0.001996,0.001996,2411,"/usr/include/c++/9/debug/assertions.h"
0.001403,0.001403,1645,"/usr/include/c++/9/bits/exception_defines.h"
0.000841,0.000841,2363,"/usr/include/stdc-predef.h"
0.000481,0.000481,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000428,0.000428,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000346,0.000346,1333,"/usr/include/x86_64-linux-gnu/c++/9/bits/cpu_defines.h"
0.000236,0.000236,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
