"Total seconds","Self seconds","File size","File path"
4.701890,0.029739,40559,"/usr/include/c++/9/fstream"
4.426963,0.022918,32843,"/usr/include/c++/9/istream"
4.327053,0.002430,1601,"/usr/include/c++/9/ios"
2.242678,0.068181,31153,"/usr/include/c++/9/bits/ios_base.h"
1.865632,0.031261,24897,"/usr/include/c++/9/bits/locale_classes.h"
1.825850,0.012973,4645,"/usr/include/c++/9/string"
1.369203,1.335643,61172,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++config.h"
0.848472,0.067197,24726,"/usr/include/c++/9/bits/char_traits.h"
0.756475,0.113969,51417,"/usr/include/c++/9/bits/stl_algobase.h"
0.716876,0.200446,215183,"/usr/include/c++/9/bits/stl_algo.h"
0.707167,0.679321,90241,"/usr/include/c++/9/type_traits"
0.601740,0.180458,246994,"/usr/include/c++/9/bits/basic_string.h"
0.436237,0.005078,4803,"/usr/include/c++/9/exception"
0.342730,0.009480,16074,"/usr/include/c++/9/bits/basic_ios.h"
0.298093,0.060896,92321,"/usr/include/c++/9/bits/locale_facets.h"
0.278884,0.004527,3597,"/usr/include/c++/9/ext/string_conversions.h"
0.273404,0.025703,6918,"/usr/include/c++/9/iosfwd"
0.242399,0.049161,6529,"/usr/include/c++/9/bits/move.h"
0.230977,0.004234,4802,"/usr/include/c++/9/bits/nested_exception.h"
0.229275,0.012832,10248,"/usr/include/c++/9/bits/uniform_int_dist.h"
0.212468,0.008369,7943,"/usr/include/c++/9/bits/allocator.h"
0.211972,0.024894,5941,"/usr/include/c++/9/bits/localefwd.h"
0.211792,0.018625,6542,"/usr/include/c++/9/cwchar"
0.205422,0.012035,4439,"/usr/include/c++/9/cstdio"
0.193984,0.006906,3509,"/usr/include/c++/9/ext/atomicity.h"
0.182942,0.154564,71808,"/usr/include/c++/9/limits"
0.165850,0.063682,42796,"/usr/include/c++/9/bits/stl_iterator.h"
0.158650,0.001856,5608,"/usr/include/x86_64-linux-gnu/c++/9/bits/gthr.h"
0.156794,0.020869,24260,"/usr/include/x86_64-linux-gnu/c++/9/bits/gthr-default.h"
0.143217,0.005655,5981,"/usr/include/c++/9/bits/exception_ptr.h"
0.139742,0.003226,2409,"/usr/include/c++/9/cctype"
0.135925,0.030431,41269,"/usr/include/pthread.h"
