"Total seconds","Self seconds","File size","File path"
6.997815,0.063281,50535,"/usr/include/c++/9/future"
4.951303,0.032657,18284,"/usr/include/c++/9/mutex"
4.438214,0.257183,60901,"/usr/include/c++/9/tuple"
3.489654,0.018510,11676,"/usr/include/c++/9/array"
3.430185,0.015437,9877,"/usr/include/c++/9/stdexcept"
3.163179,0.007077,4645,"/usr/include/c++/9/string"
1.794801,1.765928,90241,"/usr/include/c++/9/type_traits"
1.563953,0.012405,10355,"/usr/include/c++/9/thread"
1.435839,0.019766,12465,"/usr/include/c++/9/memory"
1.412184,1.377676,61172,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++config.h"
0.872736,0.049249,24726,"/usr/include/c++/9/bits/char_traits.h"
0.808025,0.173641,246994,"/usr/include/c++/9/bits/basic_string.h"
0.744772,0.183992,51417,"/usr/include/c++/9/bits/stl_algobase.h"
0.710286,0.212840,215183,"/usr/include/c++/9/bits/stl_algo.h"
0.545500,0.042024,12528,"/usr/include/c++/9/utility"
0.491635,0.147482,29880,"/usr/include/c++/9/chrono"
0.440265,0.061094,24220,"/usr/include/c++/9/bits/shared_ptr.h"
0.379171,0.068867,53771,"/usr/include/c++/9/bits/shared_ptr_base.h"
0.337659,0.308543,71808,"/usr/include/c++/9/limits"
0.337388,0.050112,18642,"/usr/include/c++/9/bits/stl_pair.h"
0.294216,0.074802,27279,"/usr/include/c++/9/bits/unique_ptr.h"
0.291613,0.004732,3597,"/usr/include/c++/9/ext/string_conversions.h"
0.261373,0.059286,6529,"/usr/include/c++/9/bits/move.h"
0.253641,0.005225,4803,"/usr/include/c++/9/exception"
0.250650,0.242594,42293,"/usr/include/c++/9/bits/stl_function.h"
0.235401,0.020155,7943,"/usr/include/c++/9/bits/allocator.h"
0.234643,0.006354,5941,"/usr/include/c++/9/bits/localefwd.h"
0.228362,0.010823,10248,"/usr/include/c++/9/bits/uniform_int_dist.h"
0.226828,0.019431,6542,"/usr/include/c++/9/cwchar"
0.196309,0.004950,3509,"/usr/include/c++/9/ext/atomicity.h"
0.178437,0.070261,42796,"/usr/include/c++/9/bits/stl_iterator.h"
