"Total seconds","Self seconds","File size","File path"
5.728574,0.018538,16547,"/usr/include/c++/9/iomanip"
3.783944,0.080958,31153,"/usr/include/c++/9/bits/ios_base.h"
3.207752,0.047404,24897,"/usr/include/c++/9/bits/locale_classes.h"
3.148566,0.010266,4645,"/usr/include/c++/9/string"
1.424233,1.389839,61172,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++config.h"
1.370927,0.001393,1488,"/usr/include/c++/9/locale"
1.097496,1.068146,90241,"/usr/include/c++/9/type_traits"
1.076902,0.070179,24726,"/usr/include/c++/9/bits/char_traits.h"
1.010084,0.148089,51417,"/usr/include/c++/9/bits/stl_algobase.h"
0.778863,0.022710,18801,"/usr/include/c++/9/bits/locale_conv.h"
0.732655,0.200245,215183,"/usr/include/c++/9/bits/stl_algo.h"
0.719684,0.036304,27279,"/usr/include/c++/9/bits/unique_ptr.h"
0.618447,0.190302,246994,"/usr/include/c++/9/bits/basic_string.h"
0.494542,0.014085,7943,"/usr/include/c++/9/bits/allocator.h"
0.427108,0.109373,92321,"/usr/include/c++/9/bits/locale_facets.h"
0.387300,0.000979,1979,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++allocator.h"
0.386321,0.005940,5136,"/usr/include/c++/9/ext/new_allocator.h"
0.378416,0.088809,60901,"/usr/include/c++/9/tuple"
0.346709,0.050914,18642,"/usr/include/c++/9/bits/stl_pair.h"
0.315422,0.005077,5053,"/usr/include/c++/9/bits/quoted_string.h"
0.310345,0.023219,28524,"/usr/include/c++/9/sstream"
0.275745,0.004565,3597,"/usr/include/c++/9/ext/string_conversions.h"
0.270098,0.012726,8010,"/usr/include/c++/9/new"
0.264173,0.019064,32843,"/usr/include/c++/9/istream"
0.259907,0.051864,6529,"/usr/include/c++/9/bits/move.h"
0.247204,0.007005,3509,"/usr/include/c++/9/ext/atomicity.h"
0.242883,0.029859,6918,"/usr/include/c++/9/iosfwd"
0.237026,0.010648,10248,"/usr/include/c++/9/bits/uniform_int_dist.h"
0.223702,0.003786,4803,"/usr/include/c++/9/exception"
0.219875,0.019420,6542,"/usr/include/c++/9/cwchar"
0.208435,0.001562,5608,"/usr/include/x86_64-linux-gnu/c++/9/bits/gthr.h"
0.206873,0.021210,24260,"/usr/include/x86_64-linux-gnu/c++/9/bits/gthr-default.h"
0.194281,0.164021,71808,"/usr/include/c++/9/limits"
0.191711,0.044134,68980,"/usr/include/c++/9/bits/locale_facets_nonio.h"
0.185663,0.031282,41269,"/usr/include/pthread.h"
0.177968,0.029626,5941,"/usr/include/c++/9/bits/localefwd.h"
0.175501,0.036186,12528,"/usr/include/c++/9/utility"
0.170538,0.064995,42796,"/usr/include/c++/9/bits/stl_iterator.h"
0.155901,0.001938,1601,"/usr/include/c++/9/ios"
0.139272,0.027638,23020,"/usr/include/c++/9/string_view"
0.130962,0.013233,8680,"/usr/include/c++/9/bits/stl_iterator_base_types.h"
0.127193,0.057450,30017,"/usr/include/c++/9/streambuf"
0.124664,0.014237,11670,"/usr/include/c++/9/system_error"
0.123301,0.107395,15541,"/usr/include/features.h"
0.122174,0.008713,8465,"/usr/include/c++/9/bits/postypes.h"
0.120037,0.006095,5981,"/usr/include/c++/9/bits/exception_ptr.h"
0.114435,0.065371,31111,"/usr/include/wchar.h"
0.108063,0.004772,4439,"/usr/include/c++/9/cstdio"
0.106142,0.025018,21737,"/usr/include/c++/9/bits/algorithmfwd.h"
0.102355,0.008653,6824,"/usr/include/c++/9/bits/uses_allocator.h"
0.098995,0.011017,6325,"/usr/include/c++/9/cstdlib"
0.098738,0.003314,2409,"/usr/include/c++/9/cctype"
0.097769,0.090081,42293,"/usr/include/c++/9/bits/stl_function.h"
0.096266,0.004009,3657,"/usr/include/c++/9/bits/invoke.h"
0.092752,0.010055,16074,"/usr/include/c++/9/bits/basic_ios.h"
0.085272,0.056827,9947,"/usr/include/c++/9/bits/cpp_type_traits.h"
0.085233,0.006515,8287,"/usr/include/c++/9/bits/stl_tempbuf.h"
0.081496,0.017328,11676,"/usr/include/c++/9/array"
0.075306,0.022292,29665,"/usr/include/stdio.h"
0.074287,0.073625,53830,"/usr/include/c++/9/bits/basic_string.tcc"
0.073798,0.001816,1770,"/usr/include/c++/9/cerrno"
0.071656,0.062210,7990,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.071387,0.071387,45280,"/usr/include/c++/9/bits/locale_facets_nonio.tcc"
0.068487,0.002399,2793,"/usr/include/c++/9/cwctype"
0.064504,0.004991,2690,"/usr/include/c++/9/bits/stringfwd.h"
0.062010,0.004539,5175,"/usr/include/x86_64-linux-gnu/c++/9/bits/error_constants.h"
0.060039,0.024039,5914,"/usr/include/c++/9/ext/type_traits.h"
0.056663,0.014877,10360,"/usr/include/time.h"
0.055510,0.055510,39548,"/usr/include/c++/9/bits/locale_facets.tcc"
0.055453,0.055453,12959,"/usr/lib/gcc/x86_64-linux-gnu/9/include/stddef.h"
0.053544,0.002925,3307,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++locale.h"
0.052408,0.026508,22213,"/usr/include/c++/9/ostream"
0.050619,0.001078,1905,"/usr/include/c++/9/clocale"
0.050472,0.006899,3189,"/usr/include/endian.h"
0.048446,0.047753,31093,"/usr/include/c++/9/bits/istream.tcc"
0.047102,0.005863,7397,"/usr/include/c++/9/bits/stl_construct.h"
0.041282,0.009381,5916,"/usr/include/c++/9/ext/alloc_traits.h"
0.040283,0.025223,13884,"/usr/include/c++/9/bits/streambuf_iterator.h"
0.039979,0.039979,25429,"/usr/include/c++/9/bits/codecvt.h"
0.039749,0.002251,2335,"/usr/include/c++/9/cstdint"
0.039592,0.004074,4732,"/usr/include/sched.h"
0.039168,0.001691,2220,"/usr/include/c++/9/bits/cxxabi_init_exception.h"
0.038338,0.003737,5548,"/usr/include/wctype.h"
0.037797,0.004636,4802,"/usr/include/c++/9/bits/nested_exception.h"
0.037294,0.005273,7692,"/usr/include/c++/9/typeinfo"
0.036670,0.001746,2298,"/usr/include/c++/9/ctime"
0.036016,0.005918,3433,"/usr/include/c++/9/bits/functexcept.h"
0.035796,0.023663,10963,"/usr/include/ctype.h"
0.033697,0.004111,3423,"/usr/include/c++/9/bits/concept_check.h"
0.032134,0.003041,2453,"/usr/include/c++/9/bits/memoryfwd.h"
0.032057,0.006923,5664,"/usr/include/x86_64-linux-gnu/bits/byteswap.h"
0.031804,0.003099,2483,"/usr/include/c++/9/bits/exception.h"
0.031599,0.001787,2146,"/usr/include/c++/9/bits/hash_bytes.h"
0.031541,0.002784,3384,"/usr/include/c++/9/bits/std_abs.h"
0.030984,0.002797,2974,"/usr/include/c++/9/initializer_list"
0.030579,0.015782,17221,"/usr/include/x86_64-linux-gnu/bits/libio.h"
0.030423,0.018243,4575,"/usr/include/c++/9/ext/numeric_traits.h"
0.030236,0.017352,20206,"/usr/include/c++/9/bits/stl_heap.h"
0.028663,0.027964,8567,"/usr/include/c++/9/bits/functional_hash.h"
0.028126,0.020410,21489,"/usr/include/c++/9/bits/alloc_traits.h"
0.027182,0.001170,2007,"/usr/include/x86_64-linux-gnu/c++/9/bits/os_defines.h"
0.026258,0.002845,4423,"/usr/include/x86_64-linux-gnu/bits/floatn.h"
0.024985,0.024985,9083,"/usr/include/c++/9/bits/predefined_ops.h"
0.023885,0.018349,6301,"/usr/include/x86_64-linux-gnu/bits/wctype-wchar.h"
0.022703,0.022013,12315,"/usr/include/c++/9/bits/ostream.tcc"
0.022287,0.022287,10030,"/usr/include/c++/9/bits/range_access.h"
0.021061,0.005318,7674,"/usr/include/locale.h"
0.019003,0.015944,9877,"/usr/include/c++/9/stdexcept"
0.016866,0.010145,9419,"/usr/include/x86_64-linux-gnu/bits/floatn-common.h"
0.015975,0.001982,1832,"/usr/include/errno.h"
0.015615,0.002836,2607,"/usr/include/x86_64-linux-gnu/bits/libc-header-start.h"
0.014563,0.013809,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
