"Total seconds","Self seconds","File size","File path"
4.507689,0.023385,32843,"/usr/include/c++/9/istream"
4.405294,0.001977,1601,"/usr/include/c++/9/ios"
2.254529,0.069736,31153,"/usr/include/c++/9/bits/ios_base.h"
1.873861,0.031751,24897,"/usr/include/c++/9/bits/locale_classes.h"
1.830381,0.009848,4645,"/usr/include/c++/9/string"
1.302079,1.264189,61172,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++config.h"
0.859532,0.068200,24726,"/usr/include/c++/9/bits/char_traits.h"
0.765509,0.114130,51417,"/usr/include/c++/9/bits/stl_algobase.h"
0.717520,0.688499,90241,"/usr/include/c++/9/type_traits"
0.713181,0.190544,215183,"/usr/include/c++/9/bits/stl_algo.h"
0.608895,0.183545,246994,"/usr/include/c++/9/bits/basic_string.h"
0.457700,0.005274,4803,"/usr/include/c++/9/exception"
0.347747,0.010497,16074,"/usr/include/c++/9/bits/basic_ios.h"
0.300823,0.060978,92321,"/usr/include/c++/9/bits/locale_facets.h"
0.297476,0.026029,6918,"/usr/include/c++/9/iosfwd"
0.281887,0.004531,3597,"/usr/include/c++/9/ext/string_conversions.h"
0.245794,0.044476,6529,"/usr/include/c++/9/bits/move.h"
0.240918,0.004302,4802,"/usr/include/c++/9/bits/nested_exception.h"
0.229970,0.010603,10248,"/usr/include/c++/9/bits/uniform_int_dist.h"
0.221681,0.019112,6542,"/usr/include/c++/9/cwchar"
0.216799,0.025489,5941,"/usr/include/c++/9/bits/localefwd.h"
0.214415,0.008413,7943,"/usr/include/c++/9/bits/allocator.h"
0.197573,0.006866,3509,"/usr/include/c++/9/ext/atomicity.h"
0.184581,0.155304,71808,"/usr/include/c++/9/limits"
0.170674,0.064942,42796,"/usr/include/c++/9/bits/stl_iterator.h"
0.161810,0.001589,5608,"/usr/include/x86_64-linux-gnu/c++/9/bits/gthr.h"
0.160221,0.021128,24260,"/usr/include/x86_64-linux-gnu/c++/9/bits/gthr-default.h"
0.151377,0.005919,5981,"/usr/include/c++/9/bits/exception_ptr.h"
0.142939,0.003307,2409,"/usr/include/c++/9/cctype"
0.139093,0.031292,41269,"/usr/include/pthread.h"
0.130128,0.029009,23020,"/usr/include/c++/9/string_view"
0.129946,0.013884,8680,"/usr/include/c++/9/bits/stl_iterator_base_types.h"
0.126357,0.014429,11670,"/usr/include/c++/9/system_error"
0.125460,0.008837,8465,"/usr/include/c++/9/bits/postypes.h"
0.124172,0.001021,1979,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++allocator.h"
0.123151,0.009032,5136,"/usr/include/c++/9/ext/new_allocator.h"
0.119807,0.102152,15541,"/usr/include/features.h"
0.118476,0.035273,18642,"/usr/include/c++/9/bits/stl_pair.h"
0.116009,0.065497,31111,"/usr/include/wchar.h"
0.114247,0.043286,30017,"/usr/include/c++/9/streambuf"
0.110756,0.004791,4439,"/usr/include/c++/9/cstdio"
0.102034,0.025291,21737,"/usr/include/c++/9/bits/algorithmfwd.h"
0.099271,0.011436,6325,"/usr/include/c++/9/cstdlib"
0.087736,0.055807,9947,"/usr/include/c++/9/bits/cpp_type_traits.h"
0.086514,0.006370,8287,"/usr/include/c++/9/bits/stl_tempbuf.h"
0.083048,0.026898,10963,"/usr/include/ctype.h"
0.077488,0.023169,29665,"/usr/include/stdio.h"
0.074175,0.001723,1770,"/usr/include/c++/9/cerrno"
0.070748,0.061541,7990,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.067577,0.066909,53830,"/usr/include/c++/9/bits/basic_string.tcc"
0.067472,0.003688,2690,"/usr/include/c++/9/bits/stringfwd.h"
0.066386,0.002445,2793,"/usr/include/c++/9/cwctype"
0.062630,0.004613,5175,"/usr/include/x86_64-linux-gnu/c++/9/bits/error_constants.h"
0.061788,0.054178,42293,"/usr/include/c++/9/bits/stl_function.h"
0.060293,0.024180,5914,"/usr/include/c++/9/ext/type_traits.h"
0.057146,0.057146,12959,"/usr/lib/gcc/x86_64-linux-gnu/9/include/stddef.h"
0.054219,0.054219,39548,"/usr/include/c++/9/bits/locale_facets.tcc"
