"Total seconds","Self seconds","File size","File path"
0.182719,0.104519,71808,"/usr/include/c++/9/limits"
0.078200,0.042797,61172,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++config.h"
0.027993,0.001165,2007,"/usr/include/x86_64-linux-gnu/c++/9/bits/os_defines.h"
0.026828,0.010437,15541,"/usr/include/features.h"
0.015017,0.014308,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.007020,0.007020,6984,"/usr/include/c++/9/pstl/pstl_config.h"
0.000906,0.000906,2363,"/usr/include/stdc-predef.h"
0.000492,0.000492,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000468,0.000468,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000390,0.000390,1333,"/usr/include/x86_64-linux-gnu/c++/9/bits/cpu_defines.h"
0.000217,0.000217,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
