"Total seconds","Self seconds","File size","File path"
1.750578,0.003007,3714,"/usr/include/c++/9/list"
0.926450,0.044264,51417,"/usr/include/c++/9/bits/stl_algobase.h"
0.766782,0.737438,90241,"/usr/include/c++/9/type_traits"
0.568540,0.533395,61172,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++config.h"
0.490490,0.009969,7943,"/usr/include/c++/9/bits/allocator.h"
0.373302,0.000968,1979,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++allocator.h"
0.372334,0.005880,5136,"/usr/include/c++/9/ext/new_allocator.h"
0.309944,0.024147,18642,"/usr/include/c++/9/bits/stl_pair.h"
0.272045,0.052708,67809,"/usr/include/c++/9/bits/stl_list.h"
0.257802,0.011913,8010,"/usr/include/c++/9/new"
0.230662,0.028140,6529,"/usr/include/c++/9/bits/move.h"
0.217177,0.003151,4803,"/usr/include/c++/9/exception"
0.144112,0.040673,42796,"/usr/include/c++/9/bits/stl_iterator.h"
0.118548,0.005791,5981,"/usr/include/c++/9/bits/exception_ptr.h"
0.110969,0.005473,8680,"/usr/include/c++/9/bits/stl_iterator_base_types.h"
0.098203,0.002913,3293,"/usr/include/c++/9/bits/allocated_ptr.h"
0.083020,0.005135,3972,"/usr/include/c++/9/ext/aligned_buffer.h"
0.062185,0.033258,9947,"/usr/include/c++/9/bits/cpp_type_traits.h"
0.051692,0.015163,5914,"/usr/include/c++/9/ext/type_traits.h"
0.039969,0.032612,21489,"/usr/include/c++/9/bits/alloc_traits.h"
0.039440,0.001663,2220,"/usr/include/c++/9/bits/cxxabi_init_exception.h"
0.038732,0.008157,10030,"/usr/include/c++/9/bits/range_access.h"
0.036961,0.006299,5916,"/usr/include/c++/9/ext/alloc_traits.h"
0.036541,0.004370,4802,"/usr/include/c++/9/bits/nested_exception.h"
0.036347,0.005135,7692,"/usr/include/c++/9/typeinfo"
0.034649,0.005275,3423,"/usr/include/c++/9/bits/concept_check.h"
0.033638,0.004260,3433,"/usr/include/c++/9/bits/functexcept.h"
0.031635,0.002854,2483,"/usr/include/c++/9/bits/exception.h"
0.030575,0.002426,2974,"/usr/include/c++/9/initializer_list"
0.030334,0.002121,2453,"/usr/include/c++/9/bits/memoryfwd.h"
0.030097,0.001041,2146,"/usr/include/c++/9/bits/hash_bytes.h"
0.027843,0.001163,2007,"/usr/include/x86_64-linux-gnu/c++/9/bits/os_defines.h"
0.026680,0.010497,15541,"/usr/include/features.h"
0.021958,0.009928,4575,"/usr/include/c++/9/ext/numeric_traits.h"
0.019854,0.019854,16968,"/usr/include/c++/9/bits/list.tcc"
0.017522,0.013858,6415,"/usr/include/c++/9/bits/ptr_traits.h"
0.014822,0.014105,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.010874,0.010874,9083,"/usr/include/c++/9/bits/predefined_ops.h"
0.009187,0.009187,12959,"/usr/lib/gcc/x86_64-linux-gnu/9/include/stddef.h"
0.007499,0.005216,8178,"/usr/include/c++/9/bits/stl_iterator_base_funcs.h"
0.006921,0.006921,6984,"/usr/include/c++/9/pstl/pstl_config.h"
0.004355,0.003439,5797,"/usr/include/c++/9/debug/debug.h"
0.002070,0.002070,2411,"/usr/include/c++/9/debug/assertions.h"
0.001408,0.001408,1645,"/usr/include/c++/9/bits/exception_defines.h"
0.000895,0.000895,2363,"/usr/include/stdc-predef.h"
0.000496,0.000496,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000466,0.000466,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000381,0.000381,1333,"/usr/include/x86_64-linux-gnu/c++/9/bits/cpu_defines.h"
0.000221,0.000221,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
