"Total seconds","Self seconds","File size","File path"
4.849371,0.003602,3985,"/usr/include/c++/9/map"
4.399141,0.126667,74832,"/usr/include/c++/9/bits/stl_tree.h"
2.653380,0.009118,8216,"/usr/include/c++/9/bits/node_handle.h"
2.627242,0.049196,37857,"/usr/include/c++/9/optional"
2.306507,0.018189,9877,"/usr/include/c++/9/stdexcept"
2.288318,0.007411,4645,"/usr/include/c++/9/string"
1.139519,1.104622,61172,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++config.h"
1.126013,1.097181,90241,"/usr/include/c++/9/type_traits"
1.070474,0.177695,51417,"/usr/include/c++/9/bits/stl_algobase.h"
0.819343,0.197656,246994,"/usr/include/c++/9/bits/basic_string.h"
0.688029,0.219881,215183,"/usr/include/c++/9/bits/stl_algo.h"
0.493992,0.013393,7943,"/usr/include/c++/9/bits/allocator.h"
0.406302,0.044804,53450,"/usr/include/c++/9/bits/stl_map.h"
0.370281,0.000978,1979,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++allocator.h"
0.369303,0.006021,5136,"/usr/include/c++/9/ext/new_allocator.h"
0.358173,0.085010,60901,"/usr/include/c++/9/tuple"
0.337289,0.049355,18642,"/usr/include/c++/9/bits/stl_pair.h"
0.287380,0.050395,24726,"/usr/include/c++/9/bits/char_traits.h"
0.278862,0.004693,3597,"/usr/include/c++/9/ext/string_conversions.h"
0.255036,0.011964,8010,"/usr/include/c++/9/new"
0.244721,0.047137,6529,"/usr/include/c++/9/bits/move.h"
0.235107,0.006665,5941,"/usr/include/c++/9/bits/localefwd.h"
0.234368,0.010555,10248,"/usr/include/c++/9/bits/uniform_int_dist.h"
0.214608,0.003276,4803,"/usr/include/c++/9/exception"
0.213383,0.018794,6542,"/usr/include/c++/9/cwchar"
0.202605,0.173705,71808,"/usr/include/c++/9/limits"
0.197234,0.037270,12528,"/usr/include/c++/9/utility"
0.189674,0.002908,3509,"/usr/include/c++/9/ext/atomicity.h"
0.177877,0.065756,42796,"/usr/include/c++/9/bits/stl_iterator.h"
0.158627,0.001590,5608,"/usr/include/x86_64-linux-gnu/c++/9/bits/gthr.h"
0.157037,0.021722,24260,"/usr/include/x86_64-linux-gnu/c++/9/bits/gthr-default.h"
0.141921,0.029032,23020,"/usr/include/c++/9/string_view"
