"Total seconds","Self seconds","File size","File path"
6.799215,0.023267,20411,"/usr/include/c++/9/memory_resource"
5.471334,0.019806,12465,"/usr/include/c++/9/memory"
2.198832,0.055769,27279,"/usr/include/c++/9/bits/unique_ptr.h"
2.040034,0.135424,60901,"/usr/include/c++/9/tuple"
1.796231,0.014152,11676,"/usr/include/c++/9/array"
1.745646,0.020857,9877,"/usr/include/c++/9/stdexcept"
1.724789,0.006986,4645,"/usr/include/c++/9/string"
1.682346,1.652349,90241,"/usr/include/c++/9/type_traits"
1.413854,1.378887,61172,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++config.h"
1.048480,0.207163,51417,"/usr/include/c++/9/bits/stl_algobase.h"
0.673127,0.024857,21953,"/usr/include/c++/9/shared_mutex"
0.664515,0.320695,215183,"/usr/include/c++/9/bits/stl_algo.h"
0.619882,0.178609,246994,"/usr/include/c++/9/bits/basic_string.h"
0.618803,0.011527,9301,"/usr/include/c++/9/condition_variable"
0.507188,0.024765,7943,"/usr/include/c++/9/bits/allocator.h"
0.451957,0.043135,24220,"/usr/include/c++/9/bits/shared_ptr.h"
0.451262,0.374179,71808,"/usr/include/c++/9/limits"
0.408822,0.070327,53771,"/usr/include/c++/9/bits/shared_ptr_base.h"
0.401115,0.061803,29880,"/usr/include/c++/9/chrono"
0.394043,0.005146,4334,"/usr/include/c++/9/vector"
0.375134,0.000938,1979,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++allocator.h"
0.374196,0.005757,5136,"/usr/include/c++/9/ext/new_allocator.h"
0.336489,0.048249,18642,"/usr/include/c++/9/bits/stl_pair.h"
0.316361,0.059661,31455,"/usr/include/c++/9/bits/stl_uninitialized.h"
0.292867,0.004838,3597,"/usr/include/c++/9/ext/string_conversions.h"
0.259941,0.012045,8010,"/usr/include/c++/9/new"
0.256109,0.054201,6529,"/usr/include/c++/9/bits/move.h"
0.244385,0.004840,3509,"/usr/include/c++/9/ext/atomicity.h"
0.222018,0.018856,6542,"/usr/include/c++/9/cwchar"
0.219558,0.003366,4803,"/usr/include/c++/9/exception"
0.210837,0.001620,5608,"/usr/include/x86_64-linux-gnu/c++/9/bits/gthr.h"
0.209217,0.021336,24260,"/usr/include/x86_64-linux-gnu/c++/9/bits/gthr-default.h"
0.206707,0.050301,12528,"/usr/include/c++/9/utility"
0.205638,0.198162,42293,"/usr/include/c++/9/bits/stl_function.h"
0.191375,0.019423,6918,"/usr/include/c++/9/iosfwd"
0.187881,0.034740,41269,"/usr/include/pthread.h"
0.185693,0.050066,24726,"/usr/include/c++/9/bits/char_traits.h"
0.174806,0.069375,42796,"/usr/include/c++/9/bits/stl_iterator.h"
0.155433,0.011819,10248,"/usr/include/c++/9/bits/uniform_int_dist.h"
0.154113,0.006275,5941,"/usr/include/c++/9/bits/localefwd.h"
0.144457,0.013156,10225,"/usr/include/c++/9/bit"
0.135074,0.004141,4767,"/usr/include/c++/9/bits/std_mutex.h"
0.134897,0.029928,23020,"/usr/include/c++/9/string_view"
0.129260,0.015677,11670,"/usr/include/c++/9/system_error"
0.123895,0.013468,8680,"/usr/include/c++/9/bits/stl_iterator_base_types.h"
0.120452,0.005960,5981,"/usr/include/c++/9/bits/exception_ptr.h"
0.119166,0.004990,4439,"/usr/include/c++/9/cstdio"
0.117533,0.009043,8465,"/usr/include/c++/9/bits/postypes.h"
0.116105,0.069913,31111,"/usr/include/wchar.h"
0.110738,0.094801,15541,"/usr/include/features.h"
0.107765,0.027095,19836,"/usr/include/c++/9/ratio"
0.105576,0.011632,6325,"/usr/include/c++/9/cstdlib"
0.101960,0.003073,3293,"/usr/include/c++/9/bits/allocated_ptr.h"
0.101218,0.057640,12888,"/usr/include/c++/9/bits/refwrap.h"
0.097334,0.003487,3972,"/usr/include/c++/9/ext/aligned_buffer.h"
0.096693,0.006630,3657,"/usr/include/c++/9/bits/invoke.h"
0.094841,0.087466,64968,"/usr/include/c++/9/bits/stl_vector.h"
0.092211,0.012349,6824,"/usr/include/c++/9/bits/uses_allocator.h"
0.087613,0.003013,3868,"/usr/include/c++/9/pstl/glue_memory_defs.h"
0.085423,0.029029,29665,"/usr/include/stdio.h"
0.084600,0.004488,3576,"/usr/include/c++/9/pstl/execution_defs.h"
0.083720,0.043601,33888,"/usr/include/c++/9/bits/stl_bvector.h"
0.079998,0.009951,9769,"/usr/include/c++/9/bits/shared_ptr_atomic.h"
0.077009,0.001851,1770,"/usr/include/c++/9/cerrno"
0.076615,0.048193,9947,"/usr/include/c++/9/bits/cpp_type_traits.h"
0.072914,0.025866,21737,"/usr/include/c++/9/bits/algorithmfwd.h"
0.070047,0.038074,24992,"/usr/include/c++/9/bits/atomic_base.h"
0.066621,0.065904,53830,"/usr/include/c++/9/bits/basic_string.tcc"
0.064597,0.004702,5175,"/usr/include/x86_64-linux-gnu/c++/9/bits/error_constants.h"
0.064230,0.054924,7990,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.063980,0.063980,12959,"/usr/lib/gcc/x86_64-linux-gnu/9/include/stddef.h"
0.061087,0.010024,7944,"/usr/include/c++/9/bits/parse_numbers.h"
0.060583,0.001896,2409,"/usr/include/c++/9/cctype"
0.056560,0.049226,21489,"/usr/include/c++/9/bits/alloc_traits.h"
0.056291,0.014267,10360,"/usr/include/time.h"
0.056116,0.019564,5914,"/usr/include/c++/9/ext/type_traits.h"
0.055009,0.013684,7397,"/usr/include/c++/9/bits/stl_construct.h"
0.054598,0.003045,3307,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++locale.h"
0.053600,0.053600,30870,"/usr/include/c++/9/bits/vector.tcc"
0.051553,0.001071,1905,"/usr/include/c++/9/clocale"
0.047910,0.005123,3189,"/usr/include/endian.h"
0.045782,0.016103,3433,"/usr/include/c++/9/bits/functexcept.h"
0.045646,0.010825,8287,"/usr/include/c++/9/bits/stl_tempbuf.h"
0.043117,0.007616,6660,"/usr/include/c++/9/cstddef"
0.042611,0.005252,2335,"/usr/include/c++/9/cstdint"
0.041576,0.008988,5916,"/usr/include/c++/9/ext/alloc_traits.h"
0.040370,0.001716,2220,"/usr/include/c++/9/bits/cxxabi_init_exception.h"
0.039188,0.005187,7692,"/usr/include/c++/9/typeinfo"
0.038890,0.003992,4732,"/usr/include/sched.h"
0.038688,0.006898,10804,"/usr/include/c++/9/backward/auto_ptr.h"
0.036753,0.004450,4802,"/usr/include/c++/9/bits/nested_exception.h"
0.036000,0.006634,6101,"/usr/include/c++/9/bits/unique_lock.h"
0.035642,0.001795,2298,"/usr/include/c++/9/ctime"
0.035598,0.034861,8567,"/usr/include/c++/9/bits/functional_hash.h"
0.034949,0.005308,3423,"/usr/include/c++/9/bits/concept_check.h"
0.033628,0.001815,2146,"/usr/include/c++/9/bits/hash_bytes.h"
0.032627,0.016733,17221,"/usr/include/x86_64-linux-gnu/bits/libio.h"
0.032552,0.003643,2690,"/usr/include/c++/9/bits/stringfwd.h"
0.031974,0.002897,3384,"/usr/include/c++/9/bits/std_abs.h"
0.031719,0.002880,2483,"/usr/include/c++/9/bits/exception.h"
0.031718,0.002931,2453,"/usr/include/c++/9/bits/memoryfwd.h"
0.031703,0.018273,20206,"/usr/include/c++/9/bits/stl_heap.h"
0.031684,0.006879,5664,"/usr/include/x86_64-linux-gnu/bits/byteswap.h"
0.031368,0.002423,2974,"/usr/include/c++/9/initializer_list"
0.029503,0.016943,10963,"/usr/include/ctype.h"
0.027802,0.001116,2007,"/usr/include/x86_64-linux-gnu/c++/9/bits/os_defines.h"
0.027178,0.013525,7542,"/usr/include/c++/9/ext/concurrence.h"
0.027057,0.014879,4575,"/usr/include/c++/9/ext/numeric_traits.h"
0.026962,0.026962,10030,"/usr/include/c++/9/bits/range_access.h"
0.025127,0.025127,9083,"/usr/include/c++/9/bits/predefined_ops.h"
0.024970,0.002708,4423,"/usr/include/x86_64-linux-gnu/bits/floatn.h"
0.021584,0.005520,7674,"/usr/include/locale.h"
0.018351,0.014596,6415,"/usr/include/c++/9/bits/ptr_traits.h"
0.016974,0.002151,1832,"/usr/include/errno.h"
0.015987,0.009571,9419,"/usr/include/x86_64-linux-gnu/bits/floatn-common.h"
0.015604,0.002833,2607,"/usr/include/x86_64-linux-gnu/bits/libc-header-start.h"
0.015009,0.012673,8178,"/usr/include/c++/9/bits/stl_iterator_base_funcs.h"
0.014574,0.013810,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.014044,0.001938,1440,"/usr/include/x86_64-linux-gnu/bits/_G_config.h"
0.013799,0.012888,5797,"/usr/include/c++/9/debug/debug.h"
0.008940,0.002431,3071,"/usr/include/x86_64-linux-gnu/bits/pthreadtypes.h"
0.008843,0.008843,6698,"/usr/include/c++/9/bits/string_view.tcc"
0.008779,0.004208,4002,"/usr/include/c++/9/bits/ostream_insert.h"
0.008141,0.000447,328,"/usr/lib/gcc/x86_64-linux-gnu/9/include/stdint.h"
0.008127,0.000959,1425,"/usr/include/x86_64-linux-gnu/bits/errno.h"
0.007694,0.007694,9457,"/usr/lib/gcc/x86_64-linux-gnu/9/include/stdint-gcc.h"
0.007168,0.000153,23,"/usr/include/linux/errno.h"
0.007015,0.000165,31,"/usr/include/x86_64-linux-gnu/asm/errno.h"
0.006850,0.005134,5648,"/usr/include/asm-generic/errno.h"
0.006797,0.006797,6984,"/usr/include/c++/9/pstl/pstl_config.h"
0.006704,0.006704,4515,"/usr/include/x86_64-linux-gnu/bits/cpu-set.h"
0.006668,0.006668,4072,"/usr/lib/gcc/x86_64-linux-gnu/9/include/stdarg.h"
0.006509,0.003296,5610,"/usr/include/x86_64-linux-gnu/bits/thread-shared-types.h"
0.005555,0.001873,2998,"/usr/include/x86_64-linux-gnu/bits/time.h"
0.004865,0.001298,321,"/usr/include/x86_64-linux-gnu/bits/types/struct_timespec.h"
0.004862,0.004862,2411,"/usr/include/c++/9/debug/assertions.h"
0.004614,0.000980,1541,"/usr/include/x86_64-linux-gnu/bits/uintn-identity.h"
0.004520,0.000899,760,"/usr/include/x86_64-linux-gnu/bits/types/struct_tm.h"
0.004379,0.000535,288,"/usr/include/x86_64-linux-gnu/bits/types/struct_itimerspec.h"
0.004307,0.000350,174,"/usr/include/x86_64-linux-gnu/bits/types/clockid_t.h"
0.004153,0.000529,138,"/usr/include/x86_64-linux-gnu/bits/types/time_t.h"
0.003946,0.000337,143,"/usr/include/x86_64-linux-gnu/bits/types/clock_t.h"
0.003923,0.000337,159,"/usr/include/x86_64-linux-gnu/bits/types/timer_t.h"
0.003710,0.003710,7167,"/usr/include/c++/9/backward/binders.h"
0.003213,0.002699,3290,"/usr/include/x86_64-linux-gnu/bits/pthreadtypes-arch.h"
0.003059,0.003059,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.002308,0.002308,3397,"/usr/include/x86_64-linux-gnu/bits/typesizes.h"
0.002303,0.002303,1811,"/usr/include/c++/9/bits/cxxabi_forced.h"
0.002185,0.001443,982,"/usr/include/x86_64-linux-gnu/bits/types/locale_t.h"
0.002109,0.002109,3830,"/usr/include/c++/9/bits/stl_raw_storage_iter.h"
0.002078,0.002078,4594,"/usr/include/c++/9/bits/stl_relops.h"
0.001935,0.001935,3811,"/usr/include/x86_64-linux-gnu/bits/sched.h"
0.001716,0.001716,1612,"/usr/include/asm-generic/errno-base.h"
0.001402,0.001402,1645,"/usr/include/c++/9/bits/exception_defines.h"
0.001346,0.000860,1286,"/usr/include/x86_64-linux-gnu/bits/setjmp.h"
0.001242,0.001242,1731,"/usr/include/x86_64-linux-gnu/bits/byteswap-16.h"
0.001136,0.001136,2352,"/usr/include/c++/9/bits/atomic_lockfree_defines.h"
0.000976,0.000976,1367,"/usr/include/x86_64-linux-gnu/bits/locale.h"
0.000894,0.000894,564,"/usr/include/x86_64-linux-gnu/bits/types/__mbstate_t.h"
0.000890,0.000890,2363,"/usr/include/stdc-predef.h"
0.000785,0.000298,135,"/usr/include/x86_64-linux-gnu/bits/types/mbstate_t.h"
0.000758,0.000758,1905,"/usr/include/x86_64-linux-gnu/bits/wchar.h"
0.000742,0.000742,1721,"/usr/include/x86_64-linux-gnu/bits/types/__locale_t.h"
0.000702,0.000702,1212,"/usr/include/x86_64-linux-gnu/bits/stdio_lim.h"
0.000606,0.000606,1518,"/usr/include/x86_64-linux-gnu/c++/9/bits/atomic_word.h"
0.000569,0.000569,1215,"/usr/include/x86_64-linux-gnu/bits/sys_errlist.h"
0.000498,0.000498,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
0.000480,0.000480,796,"/usr/include/x86_64-linux-gnu/bits/types/wint_t.h"
0.000473,0.000473,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000443,0.000443,180,"/usr/include/x86_64-linux-gnu/bits/types/FILE.h"
0.000392,0.000392,110,"/usr/include/x86_64-linux-gnu/bits/types/__FILE.h"
0.000368,0.000368,1333,"/usr/include/x86_64-linux-gnu/c++/9/bits/cpu_defines.h"
