"Total seconds","Self seconds","File size","File path"
0.539670,0.012659,8010,"/usr/include/c++/9/new"
0.449086,0.003135,4803,"/usr/include/c++/9/exception"
0.362828,0.327808,61172,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++config.h"
0.258626,0.004536,4802,"/usr/include/c++/9/bits/nested_exception.h"
0.221753,0.006485,6529,"/usr/include/c++/9/bits/move.h"
0.145821,0.114336,90241,"/usr/include/c++/9/type_traits"
0.126709,0.006286,5981,"/usr/include/c++/9/bits/exception_ptr.h"
0.042337,0.001718,2220,"/usr/include/c++/9/bits/cxxabi_init_exception.h"
0.039600,0.005691,7692,"/usr/include/c++/9/typeinfo"
0.037595,0.001973,3423,"/usr/include/c++/9/bits/concept_check.h"
0.032742,0.001111,2146,"/usr/include/c++/9/bits/hash_bytes.h"
0.031529,0.002859,2483,"/usr/include/c++/9/bits/exception.h"
0.027811,0.001139,2007,"/usr/include/x86_64-linux-gnu/c++/9/bits/os_defines.h"
0.026672,0.010630,15541,"/usr/include/features.h"
0.014691,0.013962,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.009663,0.009663,12959,"/usr/lib/gcc/x86_64-linux-gnu/9/include/stddef.h"
0.006836,0.006836,6984,"/usr/include/c++/9/pstl/pstl_config.h"
0.000885,0.000885,2363,"/usr/include/stdc-predef.h"
0.000822,0.000822,1645,"/usr/include/c++/9/bits/exception_defines.h"
0.000487,0.000487,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000466,0.000466,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000373,0.000373,1333,"/usr/include/x86_64-linux-gnu/c++/9/bits/cpu_defines.h"
0.000242,0.000242,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
