"Total seconds","Self seconds","File size","File path"
4.050675,0.018149,30017,"/usr/include/c++/9/streambuf"
3.531474,0.025994,31153,"/usr/include/c++/9/bits/ios_base.h"
3.172838,0.023443,24897,"/usr/include/c++/9/bits/locale_classes.h"
3.137797,0.009950,4645,"/usr/include/c++/9/string"
1.257051,1.222641,61172,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++config.h"
1.086013,0.047595,24726,"/usr/include/c++/9/bits/char_traits.h"
1.007157,0.111050,51417,"/usr/include/c++/9/bits/stl_algobase.h"
0.740604,0.207601,215183,"/usr/include/c++/9/bits/stl_algo.h"
0.735288,0.705240,90241,"/usr/include/c++/9/type_traits"
0.596326,0.169117,246994,"/usr/include/c++/9/bits/basic_string.h"
0.468209,0.008001,7943,"/usr/include/c++/9/bits/allocator.h"
0.381408,0.000972,1979,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++allocator.h"
0.380436,0.006072,5136,"/usr/include/c++/9/ext/new_allocator.h"
0.338252,0.036532,18642,"/usr/include/c++/9/bits/stl_pair.h"
0.283015,0.004601,3597,"/usr/include/c++/9/ext/string_conversions.h"
0.263362,0.012166,8010,"/usr/include/c++/9/new"
0.254076,0.040419,6529,"/usr/include/c++/9/bits/move.h"
0.230889,0.010564,10248,"/usr/include/c++/9/bits/uniform_int_dist.h"
0.225990,0.019256,6918,"/usr/include/c++/9/iosfwd"
0.222846,0.003258,4803,"/usr/include/c++/9/exception"
0.216258,0.018738,6542,"/usr/include/c++/9/cwchar"
0.209396,0.021870,5941,"/usr/include/c++/9/bits/localefwd.h"
0.203466,0.006893,3509,"/usr/include/c++/9/ext/atomicity.h"
0.189747,0.161007,71808,"/usr/include/c++/9/limits"
0.169532,0.063623,42796,"/usr/include/c++/9/bits/stl_iterator.h"
0.167649,0.001563,5608,"/usr/include/x86_64-linux-gnu/c++/9/bits/gthr.h"
0.166086,0.023560,24260,"/usr/include/x86_64-linux-gnu/c++/9/bits/gthr-default.h"
0.142526,0.034371,41269,"/usr/include/pthread.h"
0.135948,0.013998,8680,"/usr/include/c++/9/bits/stl_iterator_base_types.h"
0.131257,0.028322,23020,"/usr/include/c++/9/string_view"
0.128707,0.014400,11670,"/usr/include/c++/9/system_error"
0.123093,0.005980,5981,"/usr/include/c++/9/bits/exception_ptr.h"
0.120399,0.008663,8465,"/usr/include/c++/9/bits/postypes.h"
0.114235,0.066575,31111,"/usr/include/wchar.h"
0.111824,0.004807,4439,"/usr/include/c++/9/cstdio"
0.109853,0.093937,15541,"/usr/include/features.h"
0.109305,0.029682,21737,"/usr/include/c++/9/bits/algorithmfwd.h"
0.101498,0.001803,2409,"/usr/include/c++/9/cctype"
0.100200,0.011319,6325,"/usr/include/c++/9/cstdlib"
0.086320,0.006485,8287,"/usr/include/c++/9/bits/stl_tempbuf.h"
0.081767,0.050702,9947,"/usr/include/c++/9/bits/cpp_type_traits.h"
0.079069,0.023715,29665,"/usr/include/stdio.h"
0.075404,0.001768,1770,"/usr/include/c++/9/cerrno"
0.071756,0.016005,10963,"/usr/include/ctype.h"
0.065439,0.004574,5175,"/usr/include/x86_64-linux-gnu/c++/9/bits/error_constants.h"
0.064166,0.063466,53830,"/usr/include/c++/9/bits/basic_string.tcc"
0.063535,0.054320,7990,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.062789,0.003818,2690,"/usr/include/c++/9/bits/stringfwd.h"
0.060079,0.052721,42293,"/usr/include/c++/9/bits/stl_function.h"
0.059759,0.020801,5914,"/usr/include/c++/9/ext/type_traits.h"
0.057358,0.057358,12959,"/usr/lib/gcc/x86_64-linux-gnu/9/include/stddef.h"
0.053667,0.002945,3307,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++locale.h"
0.050722,0.001023,1905,"/usr/include/c++/9/clocale"
0.050665,0.008877,10360,"/usr/include/time.h"
0.047622,0.006026,7397,"/usr/include/c++/9/bits/stl_construct.h"
0.045537,0.001723,2220,"/usr/include/c++/9/bits/cxxabi_init_exception.h"
0.041473,0.009249,5916,"/usr/include/c++/9/ext/alloc_traits.h"
