"Total seconds","Self seconds","File size","File path"
3.709975,0.006672,4645,"/usr/include/c++/9/string"
1.191119,0.048185,24726,"/usr/include/c++/9/bits/char_traits.h"
1.116081,1.081471,61172,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++config.h"
0.997504,0.110392,51417,"/usr/include/c++/9/bits/stl_algobase.h"
0.779733,0.166006,246994,"/usr/include/c++/9/bits/basic_string.h"
0.734904,0.706153,90241,"/usr/include/c++/9/type_traits"
0.701223,0.193145,215183,"/usr/include/c++/9/bits/stl_algo.h"
0.468298,0.008522,7943,"/usr/include/c++/9/bits/allocator.h"
0.376287,0.000932,1979,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++allocator.h"
0.375355,0.005461,5136,"/usr/include/c++/9/ext/new_allocator.h"
0.329898,0.041250,18642,"/usr/include/c++/9/bits/stl_pair.h"
0.281022,0.004436,3597,"/usr/include/c++/9/ext/string_conversions.h"
0.260371,0.012016,8010,"/usr/include/c++/9/new"
0.240523,0.040329,6529,"/usr/include/c++/9/bits/move.h"
0.226992,0.005980,5941,"/usr/include/c++/9/bits/localefwd.h"
0.222262,0.010310,10248,"/usr/include/c++/9/bits/uniform_int_dist.h"
0.216739,0.003168,4803,"/usr/include/c++/9/exception"
0.215622,0.018805,6542,"/usr/include/c++/9/cwchar"
0.188573,0.002762,3509,"/usr/include/c++/9/ext/atomicity.h"
0.183867,0.155251,71808,"/usr/include/c++/9/limits"
0.178955,0.065768,42796,"/usr/include/c++/9/bits/stl_iterator.h"
0.157187,0.001588,5608,"/usr/include/x86_64-linux-gnu/c++/9/bits/gthr.h"
0.155599,0.020945,24260,"/usr/include/x86_64-linux-gnu/c++/9/bits/gthr-default.h"
0.142556,0.014106,8680,"/usr/include/c++/9/bits/stl_iterator_base_types.h"
0.134654,0.030203,41269,"/usr/include/pthread.h"
0.133111,0.028733,23020,"/usr/include/c++/9/string_view"
0.119197,0.008751,8465,"/usr/include/c++/9/bits/postypes.h"
0.116722,0.005851,5981,"/usr/include/c++/9/bits/exception_ptr.h"
0.112104,0.064463,31111,"/usr/include/wchar.h"
0.109752,0.004720,4439,"/usr/include/c++/9/cstdio"
0.109042,0.093182,15541,"/usr/include/features.h"
0.100825,0.001834,2409,"/usr/include/c++/9/cctype"
0.097442,0.011195,6325,"/usr/include/c++/9/cstdlib"
0.097237,0.023363,21737,"/usr/include/c++/9/bits/algorithmfwd.h"
0.086481,0.006358,8287,"/usr/include/c++/9/bits/stl_tempbuf.h"
0.077386,0.023014,29665,"/usr/include/stdio.h"
0.071473,0.016218,10963,"/usr/include/ctype.h"
0.069271,0.040896,9947,"/usr/include/c++/9/bits/cpp_type_traits.h"
0.065918,0.058335,42293,"/usr/include/c++/9/bits/stl_function.h"
0.061852,0.003455,2690,"/usr/include/c++/9/bits/stringfwd.h"
0.061724,0.061052,53830,"/usr/include/c++/9/bits/basic_string.tcc"
0.061408,0.052554,7990,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.055648,0.055648,12959,"/usr/lib/gcc/x86_64-linux-gnu/9/include/stddef.h"
0.052440,0.002868,3307,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++locale.h"
0.051477,0.015436,5914,"/usr/include/c++/9/ext/type_traits.h"
0.049572,0.001005,1905,"/usr/include/c++/9/clocale"
0.049090,0.005714,7397,"/usr/include/c++/9/bits/stl_construct.h"
0.048736,0.008166,10360,"/usr/include/time.h"
0.044615,0.011773,6918,"/usr/include/c++/9/iosfwd"
0.043609,0.000841,1770,"/usr/include/c++/9/cerrno"
0.043407,0.009137,5916,"/usr/include/c++/9/ext/alloc_traits.h"
0.039491,0.001662,2220,"/usr/include/c++/9/bits/cxxabi_init_exception.h"
0.038642,0.002174,2335,"/usr/include/c++/9/cstdint"
0.037418,0.003853,4732,"/usr/include/sched.h"
0.037378,0.004382,4802,"/usr/include/c++/9/bits/nested_exception.h"
0.036604,0.005190,7692,"/usr/include/c++/9/typeinfo"
0.034941,0.005895,3433,"/usr/include/c++/9/bits/functexcept.h"
0.034849,0.005081,3189,"/usr/include/endian.h"
0.033781,0.004723,3423,"/usr/include/c++/9/bits/concept_check.h"
0.031630,0.002824,2483,"/usr/include/c++/9/bits/exception.h"
0.031294,0.002956,2453,"/usr/include/c++/9/bits/memoryfwd.h"
0.031011,0.001768,2146,"/usr/include/c++/9/bits/hash_bytes.h"
0.031000,0.015739,17221,"/usr/include/x86_64-linux-gnu/bits/libio.h"
0.030888,0.002828,3384,"/usr/include/c++/9/bits/std_abs.h"
0.030573,0.023124,21489,"/usr/include/c++/9/bits/alloc_traits.h"
0.029556,0.002352,2974,"/usr/include/c++/9/initializer_list"
0.029447,0.016925,20206,"/usr/include/c++/9/bits/stl_heap.h"
0.027391,0.001121,2007,"/usr/include/x86_64-linux-gnu/c++/9/bits/os_defines.h"
0.026783,0.015028,4575,"/usr/include/c++/9/ext/numeric_traits.h"
0.025388,0.002739,4423,"/usr/include/x86_64-linux-gnu/bits/floatn.h"
0.024780,0.024780,9083,"/usr/include/c++/9/bits/predefined_ops.h"
0.020919,0.005191,7674,"/usr/include/locale.h"
0.018554,0.017839,8567,"/usr/include/c++/9/bits/functional_hash.h"
0.018523,0.018523,10030,"/usr/include/c++/9/bits/range_access.h"
0.018472,0.006775,5664,"/usr/include/x86_64-linux-gnu/bits/byteswap.h"
0.016306,0.009764,9419,"/usr/include/x86_64-linux-gnu/bits/floatn-common.h"
0.015812,0.002827,2607,"/usr/include/x86_64-linux-gnu/bits/libc-header-start.h"
0.015469,0.001234,1832,"/usr/include/errno.h"
0.014603,0.010264,6415,"/usr/include/c++/9/bits/ptr_traits.h"
0.014517,0.013819,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.013409,0.001845,1440,"/usr/include/x86_64-linux-gnu/bits/_G_config.h"
0.012186,0.009469,8178,"/usr/include/c++/9/bits/stl_iterator_base_funcs.h"
0.008987,0.008037,5797,"/usr/include/c++/9/debug/debug.h"
0.008460,0.002289,3071,"/usr/include/x86_64-linux-gnu/bits/pthreadtypes.h"
0.008297,0.004004,4002,"/usr/include/c++/9/bits/ostream_insert.h"
0.007944,0.000433,328,"/usr/lib/gcc/x86_64-linux-gnu/9/include/stdint.h"
0.007802,0.000923,1425,"/usr/include/x86_64-linux-gnu/bits/errno.h"
0.007604,0.007604,6698,"/usr/include/c++/9/bits/string_view.tcc"
0.007511,0.007511,9457,"/usr/lib/gcc/x86_64-linux-gnu/9/include/stdint-gcc.h"
