"Total seconds","Self seconds","File size","File path"
3.875205,0.014719,11670,"/usr/include/c++/9/system_error"
3.489846,0.009141,9877,"/usr/include/c++/9/stdexcept"
3.031441,0.006876,4645,"/usr/include/c++/9/string"
1.218293,1.184095,61172,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++config.h"
0.836968,0.048255,24726,"/usr/include/c++/9/bits/char_traits.h"
0.824185,0.199012,246994,"/usr/include/c++/9/bits/basic_string.h"
0.755635,0.109547,51417,"/usr/include/c++/9/bits/stl_algobase.h"
0.729683,0.203992,215183,"/usr/include/c++/9/bits/stl_algo.h"
0.698082,0.668804,90241,"/usr/include/c++/9/type_traits"
0.451358,0.005252,4803,"/usr/include/c++/9/exception"
0.285378,0.004614,3597,"/usr/include/c++/9/ext/string_conversions.h"
0.237449,0.006813,4802,"/usr/include/c++/9/bits/nested_exception.h"
0.236297,0.039886,6529,"/usr/include/c++/9/bits/move.h"
0.225378,0.010580,10248,"/usr/include/c++/9/bits/uniform_int_dist.h"
0.221996,0.019052,6542,"/usr/include/c++/9/cwchar"
0.221069,0.015263,6918,"/usr/include/c++/9/iosfwd"
0.211353,0.008097,7943,"/usr/include/c++/9/bits/allocator.h"
0.194120,0.006055,5941,"/usr/include/c++/9/bits/localefwd.h"
0.192796,0.002792,3509,"/usr/include/c++/9/ext/atomicity.h"
0.185443,0.152466,71808,"/usr/include/c++/9/limits"
0.170078,0.064688,42796,"/usr/include/c++/9/bits/stl_iterator.h"
0.161219,0.001401,5608,"/usr/include/x86_64-linux-gnu/c++/9/bits/gthr.h"
0.159818,0.025550,24260,"/usr/include/x86_64-linux-gnu/c++/9/bits/gthr-default.h"
0.151188,0.005648,5981,"/usr/include/c++/9/bits/exception_ptr.h"
0.134268,0.030957,41269,"/usr/include/pthread.h"
0.130933,0.029556,23020,"/usr/include/c++/9/string_view"
0.124784,0.013283,8680,"/usr/include/c++/9/bits/stl_iterator_base_types.h"
0.123930,0.000945,1979,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++allocator.h"
0.122985,0.005637,5136,"/usr/include/c++/9/ext/new_allocator.h"
0.120521,0.036382,18642,"/usr/include/c++/9/bits/stl_pair.h"
0.118829,0.008584,8465,"/usr/include/c++/9/bits/postypes.h"
0.118069,0.004997,4439,"/usr/include/c++/9/cstdio"
0.114137,0.066897,31111,"/usr/include/wchar.h"
0.107663,0.091898,15541,"/usr/include/features.h"
0.105281,0.028014,21737,"/usr/include/c++/9/bits/algorithmfwd.h"
0.104486,0.001813,2409,"/usr/include/c++/9/cctype"
0.103146,0.011818,6325,"/usr/include/c++/9/cstdlib"
0.088113,0.006445,8287,"/usr/include/c++/9/bits/stl_tempbuf.h"
0.082008,0.024619,29665,"/usr/include/stdio.h"
0.079008,0.004412,5175,"/usr/include/x86_64-linux-gnu/c++/9/bits/error_constants.h"
0.077482,0.001737,1770,"/usr/include/c++/9/cerrno"
0.074882,0.019525,10963,"/usr/include/ctype.h"
0.071352,0.040988,9947,"/usr/include/c++/9/bits/cpp_type_traits.h"
0.066188,0.065480,53830,"/usr/include/c++/9/bits/basic_string.tcc"
0.063359,0.003530,2690,"/usr/include/c++/9/bits/stringfwd.h"
0.062101,0.053068,7990,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.060633,0.053051,42293,"/usr/include/c++/9/bits/stl_function.h"
0.056590,0.056590,12959,"/usr/lib/gcc/x86_64-linux-gnu/9/include/stddef.h"
0.052174,0.002928,3307,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++locale.h"
0.051933,0.015525,5914,"/usr/include/c++/9/ext/type_traits.h"
0.049978,0.005805,7397,"/usr/include/c++/9/bits/stl_construct.h"
0.049246,0.001002,1905,"/usr/include/c++/9/clocale"
0.048107,0.008063,10360,"/usr/include/time.h"
0.044122,0.009222,5916,"/usr/include/c++/9/ext/alloc_traits.h"
0.040203,0.006982,8010,"/usr/include/c++/9/new"
0.039105,0.002198,2335,"/usr/include/c++/9/cstdint"
0.039008,0.001680,2220,"/usr/include/c++/9/bits/cxxabi_init_exception.h"
0.037049,0.003811,4732,"/usr/include/sched.h"
0.036556,0.006125,3433,"/usr/include/c++/9/bits/functexcept.h"
0.035301,0.004947,7692,"/usr/include/c++/9/typeinfo"
0.034463,0.004979,3189,"/usr/include/endian.h"
0.033144,0.016740,17221,"/usr/include/x86_64-linux-gnu/bits/libio.h"
