"Total seconds","Self seconds","File size","File path"
5.070124,0.004717,3533,"/usr/include/c++/9/unordered_map"
3.690393,0.103630,73743,"/usr/include/c++/9/bits/hashtable.h"
3.375922,0.088524,68108,"/usr/include/c++/9/bits/hashtable_policy.h"
3.199115,0.083099,60901,"/usr/include/c++/9/tuple"
2.784338,0.014030,11676,"/usr/include/c++/9/array"
2.729464,0.016570,9877,"/usr/include/c++/9/stdexcept"
2.712894,0.006986,4645,"/usr/include/c++/9/string"
1.293810,1.215359,90241,"/usr/include/c++/9/type_traits"
1.152471,1.115787,61172,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++config.h"
0.804904,0.186297,246994,"/usr/include/c++/9/bits/basic_string.h"
0.746979,0.053083,24726,"/usr/include/c++/9/bits/char_traits.h"
0.696752,0.013841,7943,"/usr/include/c++/9/bits/allocator.h"
0.675865,0.204518,215183,"/usr/include/c++/9/bits/stl_algo.h"
0.619354,0.182464,51417,"/usr/include/c++/9/bits/stl_algobase.h"
0.566136,0.001021,1979,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++allocator.h"
0.565115,0.006195,5136,"/usr/include/c++/9/ext/new_allocator.h"
0.401661,0.012351,8010,"/usr/include/c++/9/new"
0.361441,0.003299,4803,"/usr/include/c++/9/exception"
0.283247,0.004951,3597,"/usr/include/c++/9/ext/string_conversions.h"
0.242892,0.212416,71808,"/usr/include/c++/9/limits"
0.240187,0.010748,10248,"/usr/include/c++/9/bits/uniform_int_dist.h"
0.232260,0.006424,5941,"/usr/include/c++/9/bits/localefwd.h"
0.219663,0.019426,6542,"/usr/include/c++/9/cwchar"
0.210841,0.011000,8216,"/usr/include/c++/9/bits/node_handle.h"
0.198882,0.002927,3509,"/usr/include/c++/9/ext/atomicity.h"
0.192557,0.049929,6529,"/usr/include/c++/9/bits/move.h"
0.182015,0.052025,37857,"/usr/include/c++/9/optional"
0.181893,0.004660,4802,"/usr/include/c++/9/bits/nested_exception.h"
0.170348,0.067227,42796,"/usr/include/c++/9/bits/stl_iterator.h"
0.166279,0.001639,5608,"/usr/include/x86_64-linux-gnu/c++/9/bits/gthr.h"
0.164640,0.021672,24260,"/usr/include/x86_64-linux-gnu/c++/9/bits/gthr-default.h"
0.162415,0.033589,12528,"/usr/include/c++/9/utility"
0.148649,0.063751,18642,"/usr/include/c++/9/bits/stl_pair.h"
0.142968,0.036130,41269,"/usr/include/pthread.h"
0.141830,0.013170,5916,"/usr/include/c++/9/ext/alloc_traits.h"
0.138403,0.033394,21489,"/usr/include/c++/9/bits/alloc_traits.h"
0.126648,0.013447,8680,"/usr/include/c++/9/bits/stl_iterator_base_types.h"
0.125075,0.029710,23020,"/usr/include/c++/9/string_view"
0.120395,0.009039,8465,"/usr/include/c++/9/bits/postypes.h"
0.118098,0.005893,5981,"/usr/include/c++/9/bits/exception_ptr.h"
0.113696,0.066596,31111,"/usr/include/wchar.h"
0.111549,0.004862,4439,"/usr/include/c++/9/cstdio"
0.108630,0.092572,15541,"/usr/include/features.h"
0.106431,0.009005,6824,"/usr/include/c++/9/bits/uses_allocator.h"
0.103842,0.001925,2409,"/usr/include/c++/9/cctype"
0.102163,0.015464,4575,"/usr/include/c++/9/ext/numeric_traits.h"
0.101818,0.011458,6325,"/usr/include/c++/9/cstdlib"
0.100909,0.093233,42293,"/usr/include/c++/9/bits/stl_function.h"
0.085179,0.003075,3972,"/usr/include/c++/9/ext/aligned_buffer.h"
0.082506,0.003819,3657,"/usr/include/c++/9/bits/invoke.h"
0.078140,0.023322,29665,"/usr/include/stdio.h"
0.073257,0.016691,10963,"/usr/include/ctype.h"
0.072784,0.042344,9947,"/usr/include/c++/9/bits/cpp_type_traits.h"
0.070593,0.025220,21737,"/usr/include/c++/9/bits/algorithmfwd.h"
0.066153,0.065435,53830,"/usr/include/c++/9/bits/basic_string.tcc"
0.063667,0.054558,7990,"/usr/include/x86_64-linux-gnu/bits/types.h"
0.059901,0.059901,76687,"/usr/include/c++/9/bits/unordered_map.h"
0.056458,0.056458,12959,"/usr/lib/gcc/x86_64-linux-gnu/9/include/stddef.h"
0.054694,0.016099,5914,"/usr/include/c++/9/ext/type_traits.h"
0.054241,0.003080,3307,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++locale.h"
0.053438,0.006736,8287,"/usr/include/c++/9/bits/stl_tempbuf.h"
0.051161,0.001065,1905,"/usr/include/c++/9/clocale"
0.050164,0.008572,10360,"/usr/include/time.h"
0.046874,0.012917,6918,"/usr/include/c++/9/iosfwd"
0.044746,0.000860,1770,"/usr/include/c++/9/cerrno"
0.040587,0.008148,3433,"/usr/include/c++/9/bits/functexcept.h"
0.040001,0.001707,2220,"/usr/include/c++/9/bits/cxxabi_init_exception.h"
0.038937,0.002260,2335,"/usr/include/c++/9/cstdint"
0.038177,0.003935,4732,"/usr/include/sched.h"
0.035796,0.005079,7692,"/usr/include/c++/9/typeinfo"
0.035371,0.005065,3189,"/usr/include/endian.h"
0.034209,0.003128,2453,"/usr/include/c++/9/bits/memoryfwd.h"
0.033706,0.003702,2690,"/usr/include/c++/9/bits/stringfwd.h"
0.032909,0.004226,3423,"/usr/include/c++/9/bits/concept_check.h"
0.031785,0.016423,17221,"/usr/include/x86_64-linux-gnu/bits/libio.h"
0.031510,0.002900,3384,"/usr/include/c++/9/bits/std_abs.h"
0.031491,0.017912,20206,"/usr/include/c++/9/bits/stl_heap.h"
0.030858,0.002834,2483,"/usr/include/c++/9/bits/exception.h"
0.030420,0.001856,2146,"/usr/include/c++/9/bits/hash_bytes.h"
0.030305,0.002392,2974,"/usr/include/c++/9/initializer_list"
0.029335,0.029335,9083,"/usr/include/c++/9/bits/predefined_ops.h"
0.029296,0.028475,8567,"/usr/include/c++/9/bits/functional_hash.h"
0.027477,0.001115,2007,"/usr/include/x86_64-linux-gnu/c++/9/bits/os_defines.h"
0.026863,0.026863,10030,"/usr/include/c++/9/bits/range_access.h"
0.025428,0.002738,4423,"/usr/include/x86_64-linux-gnu/bits/floatn.h"
0.021369,0.005441,7674,"/usr/include/locale.h"
0.019017,0.007017,5664,"/usr/include/x86_64-linux-gnu/bits/byteswap.h"
0.018224,0.014339,6415,"/usr/include/c++/9/bits/ptr_traits.h"
0.016407,0.009813,9419,"/usr/include/x86_64-linux-gnu/bits/floatn-common.h"
0.015488,0.002779,2607,"/usr/include/x86_64-linux-gnu/bits/libc-header-start.h"
0.015315,0.001191,1832,"/usr/include/errno.h"
0.014728,0.014050,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.013951,0.006146,7397,"/usr/include/c++/9/bits/stl_construct.h"
0.013557,0.001830,1440,"/usr/include/x86_64-linux-gnu/bits/_G_config.h"
0.011678,0.009311,8178,"/usr/include/c++/9/bits/stl_iterator_base_funcs.h"
0.011449,0.011449,12387,"/usr/include/c++/9/bits/enable_special_members.h"
0.009139,0.008184,5797,"/usr/include/c++/9/debug/debug.h"
0.008838,0.008838,6984,"/usr/include/c++/9/pstl/pstl_config.h"
0.008819,0.004105,4002,"/usr/include/c++/9/bits/ostream_insert.h"
0.008739,0.002438,3071,"/usr/include/x86_64-linux-gnu/bits/pthreadtypes.h"
0.008337,0.008337,6698,"/usr/include/c++/9/bits/string_view.tcc"
0.008095,0.000437,328,"/usr/lib/gcc/x86_64-linux-gnu/9/include/stdint.h"
0.007949,0.000852,1425,"/usr/include/x86_64-linux-gnu/bits/errno.h"
