"Total seconds","Self seconds","File size","File path"
0.080970,0.004576,5760,"/usr/include/c++/9/version"
0.076394,0.042097,61172,"/usr/include/x86_64-linux-gnu/c++/9/bits/c++config.h"
0.026997,0.001112,2007,"/usr/include/x86_64-linux-gnu/c++/9/bits/os_defines.h"
0.025885,0.010018,15541,"/usr/include/features.h"
0.014515,0.013798,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.006927,0.006927,6984,"/usr/include/c++/9/pstl/pstl_config.h"
0.000895,0.000895,2363,"/usr/include/stdc-predef.h"
0.000482,0.000482,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000457,0.000457,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000373,0.000373,1333,"/usr/include/x86_64-linux-gnu/c++/9/bits/cpu_defines.h"
0.000235,0.000235,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
